Date,Positive Total,Positive New,Probable Total,Probable New,Estimated active cases
6/1/2020,97291,326,,,
6/2/2020,97539,248,,,
6/3/2020,97964,425,,,
6/4/2020,98376,412,,,
6/5/2020,98796,420,,,
6/6/2020,99301,505,,,
6/7/2020,99562,261,,,
6/8/2020,99755,193,,,
6/9/2020,99955,200,,,
6/10/2020,100158,203,,,
6/11/2020,100504,354,,,
6/12/2020,100811,307,,,
6/13/2020,101070,259,,,
6/14/2020,101276,206,,,
6/15/2020,101334,58,,,
6/16/2020,101474,140,,,
6/17/2020,101654,180,,,
6/18/2020,101853,199,,,
6/19/2020,102005,152,,,
6/20/2020,102228,223,,,
6/21/2020,102333,105,,,
6/22/2020,102469,136,,,
6/23/2020,102651,182,,,
6/24/2020,102762,111,,,
6/25/2020,102922,160,,,
6/26/2020,103071,149,,,
6/27/2020,103376,305,,,
6/28/2020,103539,163,,,
6/29/2020,103628,89,,,
6/30/2020,103701,73,,,
7/1/2020,103858,157,,,
7/2/2020,104016,158,,,
7/3/2020,104228,212,,,
7/4/2020,104391,163,,,
7/5/2020,104502,111,,,
7/6/2020,104659,157,,,
7/7/2020,104799,140,,,
7/8/2020,104961,162,,,
7/9/2020,105138,177,,,
7/10/2020,105290,152,,,
7/11/2020,105457,167,,,
7/12/2020,105629,172,,,
7/13/2020,105783,154,,,
7/14/2020,105986,203,,,
7/15/2020,106128,142,,,
7/16/2020,106271,143,,,
7/17/2020,106487,216,,,
7/18/2020,106664,177,,,
7/19/2020,106882,218,,,
7/20/2020,107056,174,,,
7/21/2020,107221,165,,,
7/22/2020,107413,192,,,
7/23/2020,107683,270,,,
7/24/2020,107897,214,,,
7/25/2020,108107,210,,,
7/26/2020,108380,273,,,
7/27/2020,108562,182,,,
7/28/2020,108740,178,,,
7/29/2020,109096,356,,,
7/30/2020,109400,304,,,
7/31/2020,109787,387,,,
8/1/2020,110077,290,,,
8/2/2020,110430,353,,,
8/3/2020,110595,165,,,
8/4/2020,111033,438,,,
8/5/2020,111371,338,,,
8/6/2020,111533,162,,,
8/7/2020,111853,320,,,
8/8/2020,112173,320,,,
8/9/2020,112459,286,,,
8/10/2020,112673,214,,,
8/11/2020,112969,296,,,
8/12/2020,113198,229,,,
8/13/2020,113517,319,,,
8/14/2020,113729,212,,,
8/15/2020,114095,366,,,
8/16/2020,114398,303,,,
8/17/2020,114611,213,,,
8/18/2020,114786,175,,,
8/19/2020,115048,262,,,
8/20/2020,115310,262,,,
8/21/2020,115741,431,,,
8/22/2020,115850,109,,,
8/24/2020,116421,571,,,
8/25/2020,116770,349,,,
8/26/2020,117085,315,,,
8/27/2020,117450,365,,,
8/28/2020,117888,438,,,
8/29/2020,118309,421,,,
8/30/2020,118483,174,,,
8/31/2020,118784,301,,,
9/1/2020,119138,354,,,
9/2/2020,119426,288,1705,5,
9/3/2020,119819,393,1727,22,
9/4/2020,120038,219,1720,0,
9/5/2020,120454,416,1742,22,
9/6/2020,120824,370,1738,0,
9/7/2020,121046,222,1745,7,
9/8/2020,121214,168,1748,3,
9/9/2020,121396,182,1747,0,
9/10/2020,121759,363,1787,40,
9/11/2020,122202,443,1784,0,
9/12/2020,122637,435,1903,119,
9/13/2020,122904,267,1922,19,
9/14/2020,123139,235,1941,19,
9/15/2020,123425,286,1968,27,
9/16/2020,123720,295,1979,11,
9/17/2020,124139,419,1989,10,
9/18/2020,124570,431,2012,23,
9/19/2020,125139,569,2042,30,
9/20/2020,125479,340,2061,19,
9/21/2020,125723,244,2073,12,
9/22/2020,125866,143,2103,30,
9/23/2020,126408,542,2104,1,
9/24/2020,126863,455,2130,26,
9/25/2020,127317,454,2164,34,
9/26/2020,127832,515,2218,54,
9/27/2020,128426,594,2216,0,
9/28/2020,128793,367,2279,63,
9/29/2020,129243,450,2341,62,
9/30/2020,129753,510,2363,22,
10/1/2020,130461,708,2409,46,
10/2/2020,131214,753,2417,8,
10/3/2020,131814,600,2489,72,
10/4/2020,132440,626,2507,18,
10/5/2020,132905,465,2557,50,
10/6/2020,133359,454,2598,41,
10/7/2020,133868,509,2624,26,
10/8/2020,134277,409,2659,35,
10/9/2020,135011,734,2690,31,
10/10/2020,135598,587,2742,52,
10/11/2020,136168,570,2735,0,
10/12/2020,136933,765,2730,0,
10/13/2020,137565,632,2847,117,
10/14/2020,138083,518,2909,62,
10/15/2020,138651,568,2928,19,
10/16/2020,139353,702,2993,65,
10/17/2020,139903,550,3027,34,
10/18/2020,140647,744,3013,0,
10/19/2020,141474,827,3014,1,
10/20/2020,142295,821,3169,155,
10/21/2020,142941,646,3225,56,
10/22/2020,143927,986,3288,63,
10/23/2020,144895,968,3390,102,
10/24/2020,146023,1128,3465,75,
10/25/2020,147120,1097,3445,0,
10/26/2020,148336,1216,3441,0,
10/27/2020,149361,1025,3676,235,
10/28/2020,150498,1137,3720,44,
10/29/2020,151741,1243,3823,103,
10/30/2020,153229,1488,3917,94,
10/31/2020,154521,1292,4055,138,
11/1/2020,155660,1139,4047,0,
11/2/2020,156385,725,4164,117,16561
11/3/2020,157308,923,4277,113,16681
11/4/2020,158937,1629,4362,85,17455
11/5/2020,160698,1761,4463,101,18279
11/6/2020,162736,2038,4538,75,19366
11/7/2020,164936,2200,4640,102,20720
11/8/2020,166745,1809,4654,14,22023
11/9/2020,167929,1184,4798,144,22815
11/10/2020,169976,2047,4905,107,23702
11/11/2020,172471,2495,5070,165,25055
11/12/2020,174953,2482,5236,166,26201
11/13/2020,177627,2674,5468,232,27431
11/14/2020,180468,2841,5674,206,29082
11/15/2020,182544,2076,5731,57,30374
11/16/2020,184511,1967,5928,197,31768
11/17/2020,186774,2263,6190,262,32309
11/18/2020,189518,2744,6350,160,33659
11/19/2020,192050,2532,6500,150,34664
11/20/2020,194338,2288,6611,111,35526
11/21/2020,197329,2991,6826,215,37328
11/22/2020,200050,2721,6800,0,39073
11/23/2020,201835,1785,6788,0,40202
11/24/2020,204060,2225,7139,351,40449
11/25/2020,207284,3224,7310,171,41439
11/27/2020,211748,4464,7504,194,41852
11/28/2020,214662,2914,7807,303,42549
11/29/2020,217163,2501,7801,105,43709
11/30/2020,218329,1166,7803,94,43856
12/1/2020,221174,2845,8031,408,43601
12/2/2020,225787,4613,8445,414,45390
